deslocamento,JFC1,JFC2,JHC1,JHC2,JM1C1,JM1C2,JM2C1,JM2C2,PFC1,PFC2,PHC1,PHC2,PM1C1,PM1C2,PM2C1,PM2C2,expC1,expC2
-0.43066666666666664,-2250.2023259520997,-2321.8393853213397,-2277.03566894033,-2387.55775386302,-2208.90415041392,-2372.97484590765,-2251.0574224043303,-2363.350932491,-2262.73665825263,-2428.31055564702,-2273.4468480341397,-2389.66211007812,-2216.2752364582198,-2333.0671514535397,-2250.01145804255,-2393.66818662838,,
-0.4363333333333333,-2246.90483488388,-2318.13336258452,-2273.39675789035,-2383.2683052448997,-2205.47002375679,-2368.49847076562,-2246.7694002526896,-2358.22027562834,-2259.67086138029,-2422.4918444474697,-2270.5563131459,-2386.33084399928,-2211.74486788242,-2325.2827934154398,-2245.6893349404,-2385.98175004826,,
-0.44199999999999995,-2243.83486776088,-2314.67763971064,-2269.9569824041,-2379.21803448565,-2202.2367947952303,-2364.29051610441,-2242.69951261048,-2353.3690553014603,-2256.6780108528,-2416.794875327,-2267.84363839532,-2383.2031176267396,-2207.45497427652,-2317.93487403692,-2241.53461652446,-2378.58928044454,,
-0.4476666666666666,-2240.97665257001,-2311.45823466167,-2266.7042604705102,-2375.39063520451,-2199.19083292173,-2360.3304316489102,-2238.83261274508,-2348.77145197991,-2253.75750044787,-2411.2168400800697,-2265.29865357596,-2380.2675918998602,-2203.39491339985,-2310.9956361177397,-2237.54289672343,-2371.48310087064,,
-0.45333333333333325,-2238.3125017558104,-2308.4622429194,-2263.62764976863,-2371.7708688946,-2196.3198873310603,-2356.5993591733,-2235.15551150016,-2344.4054420788298,-2250.90877407364,-2405.75530139096,-2262.9114929947,-2377.51382324811,-2199.55459288492,-2304.43918244167,-2233.70982369504,-2364.65501814371,,
-0.45899999999999996,-2235.8257782728697,-2305.6757486904503,-2260.7172637262,-2368.344947969,-2193.6129160974397,-2353.0801145818,-2231.6567710570002,-2340.25268787965,-2248.13130308057,-2400.40817283002,-2260.67257477582,-2374.93201256701,-2195.92448962798,-2298.24175430597,-2230.03109901557,-2358.09653441223,,
-0.4646666666666667,-2233.5031299451102,-2303.08238319784,-2257.9642102335397,-2365.1006172359803,-2191.0599354024102,-2349.7571686886104,-2228.32619588497,-2336.2978492885,-2245.4245926484,-2395.17368914987,-2258.57275225223,-2372.51276620309,-2192.49557816151,-2292.38175375147,-2226.50250924038,-2351.79897688772,,
-0.47033333333333327,-2231.3334066683,-2300.66495334809,-2255.3605429111103,-2362.0269580965,-2188.65187675626,-2346.61658949776,-2225.1541334980398,-2332.5277832801103,-2242.7881716141396,-2390.05037418432,-2256.60344187624,-2370.2469189325698,-2189.2593398705803,-2286.8396056399397,-2223.1199151958604,-2345.75365545271,,
-0.476,-2229.3062134955,-2298.40897707306,-2252.89916631785,-2359.11413130945,-2186.3804233881697,-2343.64592770349,-2222.13079986846,-2328.93107274953,-2240.2215774671804,-2385.03701673035,-2254.7567562313398,-2368.12545321853,-2186.20770291628,-2281.59755218695,-2219.87926600197,-2339.95195494712,,
-0.4816666666666666,-2227.41192555363,-2296.30305846601,-2250.5736629637304,-2356.35321659804,-2184.23788182186,-2340.83406207254,-2219.2460017371104,-2325.49785555617,-2237.72435253213,-2380.13262734692,-2253.02551225351,-2366.13954494948,-2183.33302149308,-2276.6394246545497,-2216.77661032708,-2334.38541555785,,
